find,verdict,detail,n_compared,n_dirs
walk-00119,EQUIVALENT,10a2bcdegjk4ns/i117w229c389h-000.tab,1,1
walk-00120,NEW-vs-DB,fp-hits=0,40,2
walk-00121,NEW-vs-DB,fp-hits=0,2,1
walk-00122,NEW-vs-DB,fp-hits=0,0,0
walk-00123,EQUIVALENT,15a2b2d4n/i4w195c2afg-000.tab,5,3
walk-00124,EQUIVALENT,13a3b2dj4n/i16w195c479g-000.tab,132,7
walk-00125,NEW-vs-DB,fp-hits=0,105,4
walk-00126,EQUIVALENT,12a2b2dejk4n/i56w211c238h-000.tab,4,6
walk-00127,NEW-vs-DB,fp-hits=0,427,3
walk-00128,EQUIVALENT,11a4b2d2j4n/i43w203c467g-000.tab,119,8
walk-00129,EQUIVALENT,13a3b2dj4n/i16w203c356h-000.tab,170,7
walk-00130,EQUIVALENT,15a2b2d4n/i4w199c347g-000.tab,7,3
walk-00131,EQUIVALENT,12a3b2d2j4n/i27w191c347i-000.tab,2,7
walk-00132,EQUIVALENT,11a2b2dej2kl3n/i166w241c48aj-000.tab,1,2
walk-00133,EQUIVALENT,12abcdegj4ns/i107w191c356e-000.tab,14,2
walk-00134,EQUIVALENT,13abcdeg4ns/i106w191c347g-000.tab,2,1
walk-00135,EQUIVALENT,12abcdegj4ns/i107w189c48ae-000.tab,12,2
walk-00136,NEW-vs-DB,fp-hits=0,2788,7
walk-00137,EQUIVALENT,9a4b3djm4ns/i170w241c48aj-000.tab,72,7
walk-00138,NEW-vs-DB,fp-hits=0,101,2
walk-00139,EQUIVALENT,12abcdegj4ns/i107w189c48ae-000.tab,12,2
walk-00140,EQUIVALENT,8a3bc2dg2jm4ns/i118w199c46dj-000.tab,1,3
walk-00141,NEW-vs-DB,fp-hits=0,1,1
walk-00142,EQUIVALENT,8a5b3djm4ns/i176w245c49ah-000.tab,70,6
walk-00143,NEW-vs-DB,fp-hits=0,105,4
walk-00144,NEW-vs-DB,fp-hits=0,16,1
walk-00145,NEW-vs-DB,fp-hits=0,53,2
walk-00146,EQUIVALENT,11a2bcdegj4ns/i110w197c238h-000.tab,3,2
walk-00147,EQUIVALENT,8a5b3djm4ns/i176w243c37eg-000.tab,67,6
walk-00148,EQUIVALENT,6a5b4d2jm4ns/i186w235c48ai-000.tab,7,1
walk-00149,NEW-vs-DB,fp-hits=0,40,2
walk-00150,NEW-vs-DB,fp-hits=0,40,2
walk-00151,NEW-vs-DB,fp-hits=0,40,2
walk-00152,EQUIVALENT,14a2b2dj4n/i8w205c48aj-000.tab,20,5
walk-00153,EQUIVALENT,16abdj4n/i2w213c35eg-000.tab,206,2
walk-00154,EQUIVALENT,15a2bdj4n/i5w203c356f-000.tab,216,3
walk-00155,EQUIVALENT,11a3b3d2j4n/i41w207c37eg-000.tab,24,8
walk-00156,EQUIVALENT,12a3b2d2j4n/i27w211c34af-000.tab,44,7
walk-00157,NEW-vs-DB,fp-hits=0,2371,8
walk-00158,EQUIVALENT,10a3b3djk4ns/i161w225c48ah-000.tab,51,9
walk-00159,NEW-vs-DB,fp-hits=0,16,1
walk-00160,EQUIVALENT,11a2bcdegj4ns/i110w195c347g-000.tab,1,2
walk-00161,EQUIVALENT,10a3b2dgjkm4n/i172w209c23ci-000.tab,10,7
walk-00162,EQUIVALENT,12a3bdh3m3n/i158w235c6acf-000.tab,1,1
